tf-idf: 0.279 | word: https,,,tf-idf: 0.279 | word: https
tf-idf: 0.215 | word: com,,,tf-idf: 0.215 | word: com
tf-idf: 0.212 | word: imgur,,,tf-idf: 0.212 | word: imgur
tf-idf: 0.202 | word: jpg,,,tf-idf: 0.202 | word: jpg
tf-idf: 0.087 | word: dcard,,,...
tf-idf: 0.086 | word: tw,,,tf-idf: 0.047 | word: 顏色
tf-idf: 0.076 | word: megapx,,,tf-idf: 0.044 | word: 還是
tf-idf: 0.076 | word: images,,,tf-idf: 0.042 | word: 640
tf-idf: 0.075 | word: assets,,,tf-idf: 0.04 | word: 保濕
tf-idf: 0.075 | word: 覺得,,,...
tf-idf: 0.075 | word: jpeg,,,tf-idf: 0.024 | word: 質地
tf-idf: 0.062 | word: 比較,,,tf-idf: 0.024 | word: 唇膏
tf-idf: 0.06 | word: 沒有,,,tf-idf: 0.023 | word: 精華
tf-idf: 0.057 | word: 因為,,,...
tf-idf: 0.05 | word: 不會,,,tf-idf: 0.021 | word: 保養
tf-idf: 0.047 | word: 顏色,,,tf-idf: 0.021 | word: 所以
tf-idf: 0.044 | word: 還是,,,tf-idf: 0.021 | word: 肌膚
tf-idf: 0.042 | word: 640,,,tf-idf: 0.021 | word: 雖然
tf-idf: 0.04 | word: 保濕,,,tf-idf: 0.02 | word: 眼影
tf-idf: 0.04 | word: 感覺,,,tf-idf: 0.02 | word: 現在
tf-idf: 0.039 | word: 喜歡,,,
tf-idf: 0.038 | word: 真的,,,
tf-idf: 0.033 | word: 有點,,,
tf-idf: 0.032 | word: 一點,,,
tf-idf: 0.03 | word: 大家,,,
tf-idf: 0.03 | word: 時候,,,
tf-idf: 0.029 | word: 皮膚,,,
tf-idf: 0.028 | word: 一樣,,,
tf-idf: 0.027 | word: 產品,,,
tf-idf: 0.026 | word: 分享,,,
tf-idf: 0.026 | word: 適合,,,
tf-idf: 0.026 | word: 可以,,,
tf-idf: 0.025 | word: 什麼,,,
tf-idf: 0.025 | word: 推薦,,,
tf-idf: 0.025 | word: 開始,,,
tf-idf: 0.024 | word: 然後,,,
tf-idf: 0.024 | word: 質地,,,
tf-idf: 0.024 | word: 唇膏,,,
tf-idf: 0.023 | word: 精華,,,
tf-idf: 0.023 | word: 之後,,,
tf-idf: 0.023 | word: 這樣,,,
tf-idf: 0.023 | word: 不過,,,
tf-idf: 0.022 | word: 1280,,,
tf-idf: 0.022 | word: http,,,
tf-idf: 0.021 | word: 保養,,,
tf-idf: 0.021 | word: 所以,,,
tf-idf: 0.021 | word: 肌膚,,,
tf-idf: 0.021 | word: 雖然,,,
tf-idf: 0.02 | word: 眼影,,,
tf-idf: 0.02 | word: 現在,,,
